Name,URL,Cuisines,Area,Timing,Full_Address,PhoneNumber,IsHomeDelivery,isTakeaway,isIndoorSeating,isVegOnly,Dinner Ratings,Dinner Reviews,Delivery Ratings,Delivery Reviews,KnownFor,PopularDishes,PeopleKnownFor,AverageCost
One Step Up,https://www.zomato.com/kolkata/one-step-up-park-street-area,"Chinese, Asian, Continental, Italian, Desserts, Beverages","Park Street Area, Kolkata",Opens at 12noon,"18A, Park Street, Park Street Area, Kolkata",9.1983E+11,1,1,1,0,4.3,1783,4.2,2421,Stepping up the city's Continental offerings,"Chicken Tropicana, Warm Chicken Salad, Chicken Facon Du Chef, Herby Chicken Fingers, Chicken Paprika, Cocktail Prawn","Good Food Good Quality, Good View, Comfortable Seating, Simple Decor, Good Options, Cozy Ambience",1000
Giani's,https://www.zomato.com/kolkata/gianis-elgin,"Ice Cream, Desserts, Beverages","Elgin, Kolkata",Opens at 9am,"28/1, Allenby Road, Near Northern Park TMC Office Gate, Elgin, Kolkata",9.18911E+11,1,1,1,1,-,1,3.8,146,,,,400
Häagen Dazs,https://www.zomato.com/kolkata/häagen-dazs-ballygunge,"Ice Cream, Desserts, Coffee","Quest Mall, Ballygunge, Kolkata",Opens at 11am,"33, Ground Floor, Quest Mall, Syed Ali Amir Avenue, Ballygunge, Kolkata",9.18337E+11,1,1,1,0,4,203,4.5,276,,"Belgian Hot Chocolate, Raspberry Sorbet, Cookies, Ice Creams, Brownie, Dessert","Table Service, Staff, Ambience, Taste",400
Cakerica,https://www.zomato.com/kolkata/cakerica-bhawanipur,Bakery,"Bhawanipur, Kolkata",Opens at 9am,"37A, Justice Chandra Madhab Road, Bhawanipur, Kolkata",9.19331E+11,1,1,0,0,-,0,3.8,291,,,,50
Home Slice,https://www.zomato.com/kolkata/home-slice-new-alipore,Italian,"New Alipore, Kolkata",,"386, Ground Floor, Block G, New Alipore, Kolkata",9.19164E+11,1,0,0,0,-,0,4.2,1380,Earlier as Pomodoro.,"Whole Wheat Pizza, Pizzas, Thin Crust Pizza, Sauce","Fresh Ingredients, Packing, Worth the Money, Flavour, Quality, Food",400
Prity's Kitchen,https://www.zomato.com/kolkata/pritys-kitchen-ballygunge,"Chinese, Momos, Thai","Ballygunge, Kolkata",Opens at 11:30am,"11 Ustad Bade Golamali Khan Sarani, Borough 7, Kolkata Municipal Corporation, Ballygunge, Kolkata",9.17278E+11,1,1,1,0,3.5,82,3.8,2400,,,"Prices, Quantity, Value for Money, Food",400
Eat Good Food,https://www.zomato.com/kolkata/eat-good-food-ballygunge,"Healthy Food, Salad, Continental, Desserts","Ballygunge, Kolkata",Opens at 11:30am,"19A, Tarak Dutta Road, Ballygunge, Kolkata",9.1983E+11,1,1,1,0,4,397,4,1066,,"Burrito, Smoothie, Spaghetti, Mojito, Dessert, Drink","Healthy Options, Healthy Food, Cozy Ambience, Family Place, Concept, Customer Service",600
Mama Mia! NMCO Natural Milkshake Company,https://www.zomato.com/kolkata/mama-mia-nmco-natural-milkshake-company-beliaghata,Beverages,"Beliaghata, Kolkata",,"3/1/1, Ground Floor, K G Bose Sarani, Main Road, Beliaghata, Kolkata",9.18334E+11,1,0,0,0,-,0,3.9,1,,,,200
Simply Corn,https://www.zomato.com/kolkata/simply-corn-ballygunge,Fast Food,"Quest Mall, Ballygunge, Kolkata",Opens at 10:15am,"33, Basement, Spencers, Quest Mall, Syed Ali Amir Avenue, Ballygunge, Kolkata",9.1629E+11,1,1,0,1,-,0,4,43,,,,100
Surfiré The Coastal Café,https://www.zomato.com/kolkata/surfiré-the-coastal-café-southern-avenue,"Chettinad, South Indian, Fast Food, Biryani, Beverages","Southern Avenue, Kolkata",Opens at 11am,"24, Rajani Sen Road, Near Menoka Cinema, Southern Avenue, Kolkata",9.18697E+11,1,1,1,0,4,172,4,314,,"Mutton Pepper Fry, Appam, Crab, Raita, Cake, Fish","Vibe, Owner, Interior, Decor, Main Course, Flavour",800
Aalamir,https://www.zomato.com/kolkata/aalamir-esplanade,"North Indian, Mughlai, Chinese, Bengali","Esplanade, Kolkata",Opens at 11am,"184/1B, Lenin Sarani, Near Tipu Sultan Mosque, Esplanade, Kolkata",9.18241E+11,1,1,1,0,4,253,3.9,1432,,"Chicken Tandoori Thali, Chicken Kebab Platter, Mutton Thali, Firni, Chicken Tikka, Chicken Bharta","Good Quality Food, Delicious Food, Quantity, Ambience, Service, Taste",400
Golden City,https://www.zomato.com/kolkata/golden-city-sector-3-salt-lake,Chinese,"Sector 3, Salt Lake, Kolkata",Opens at 11:30am,"FD-30, A/2, Sector 3, Salt Lake, Kolkata",9.13324E+11,1,1,1,0,2.6,247,4.2,294,,,"Live Sports Screening, Portions, Crowd, Good Place, Nice Place, Good Food",1000
The Sushi Oke,https://www.zomato.com/kolkata/the-sushi-oke-new-alipore,"Japanese, Sushi, Thai","New Alipore, Kolkata",,"Ground Floor, Plot no 146, 19/7 Block J, New Alipore, Kolkata",9.19831E+11,1,0,0,0,-,0,3.4,659,Serving up sushi for the Indian palette,,"Main Course, Prices, Spicy, Staff, Good Food, Quality",300
Banzara,https://www.zomato.com/kolkata/banzara-jadavpur,"North Indian, Chinese, Mughlai, Kebab","Jadavpur, Kolkata",Opens at 12noon,"86, Ibrahimpur Road, Jadavpur, Kolkata",9.13325E+11,1,1,1,0,4,1379,4.3,124,,"Mutton Maharaja, Mushroom Rice, Dhania Chicken, Spring Chicken, Gravy Chowmein, Chicken 65","Price Vs Portion Ratio, Quantity of Portion, Good for Large Groups, Comfortable Seating Area, Family Restaurant, Friendly Place",600
Pair A Dice,https://www.zomato.com/kolkata/pair-a-dice-park-street-area,"Mexican, Asian, Shake, Italian, Desserts, Coffee","Park Street Area, Kolkata",Opens at 11:30am,"11, Royd Street, Ward 63, Park Street Area, Kolkata",080 47483201,1,1,1,1,3.8,56,4,12,,,"Board Games, Ambience was Super Cool, Good Wifi, Low Price, Concept, Family Crowd",1200
Taste And Aroma,https://www.zomato.com/kolkata/taste-and-aroma-kasba,"North Indian, Chinese, Beverages","Kasba, Kolkata",,"2nd Floor, 27th KN Sen Road, Mangalchandi Bhawan, Near Kasba Vidhan Setu, Kasba, Kolkata",9.19904E+11,1,0,0,0,-,0,3.9,55,,,,100
South Indian Restaurant,https://www.zomato.com/kolkata/south-indian-restaurant-3-park-circus-area,South Indian,"Park Circus Area, Kolkata",Opens at 7:30am,"22 A, Park Circus Area, Kolkata",9.19432E+11,1,1,1,0,-,1,-,22,,,,300
Yoga Bowl,https://www.zomato.com/kolkata/yoga-bowl-1-hazra,"Salad, Healthy Food","Hazra, Kolkata",,"22, Ritchie Road, Hazra, Kolkata",9.18337E+11,1,0,0,0,-,0,3.9,421,,"Classic Chicken Sandwich, Grilled Paneer, Kadhai Paneer, Veg Sandwich, Grilled Chicken, Sweet Corn Soup","Tamper Proof Packaging, Healthy Food, Food Packaging, Fast Delivery, Good Price, Best Food",150
Royal Biryani & Fast Food,https://www.zomato.com/kolkata/royal-biryani-fast-food-dhakuria,"Biryani, North Indian","Dhakuria, Kolkata",Opens at 11:59am,"177, Sarat Ghosh, Garden Road, Dhakuria, Kolkata",9.19063E+11,1,1,0,0,-,0,-,27,,,,100
Hugo & Finn,https://www.zomato.com/kolkata/hugo-finn-camac-street-area,"Cafe, Sandwich, Fast Food, Desserts, Beverages","Camac Street Area, Kolkata",Opens at 7am,"5B, Nandlal Basu Sarani, Camac Street Area, Kolkata",9.17981E+11,1,1,1,0,3.6,30,3.4,81,,,"Humble Staff, Nice Concept, Served Quickly, Decor, Fresh Food, Good Quality",400
Biryani Kingdom,https://www.zomato.com/kolkata/biryani-kingdom-park-circus-area,"Biryani, North Indian, Kebab","Park Circus Area, Kolkata",,"Plot 8A, 7 Point, Hotel Crestwood, Mrigendralal Mitter Road, Park Circus Area, Kolkata",9.19771E+11,1,0,0,0,-,0,-,1,,,,250
Dreamy Dessert,https://www.zomato.com/kolkata/dreamy-dessert-1-kidderpore,"Bakery, Desserts","Kidderpore, Kolkata",,"42/H/8, Ekbalpore Lane, Kidderpore, Kolkata",9.17981E+11,1,0,0,0,-,0,-,2,,,,350
Nishav's Kitchen,https://www.zomato.com/kolkata/nishavs-kitchen-2-picnic-garden,"Chinese, Biryani, Rolls, Momos","Picnic Garden, Kolkata",,"1B/3 Kustia Road, Picnic Garden, Kolkata",9.18445E+11,1,0,0,0,-,0,4,20,,,,100
Truffoline,https://www.zomato.com/kolkata/truffoline-1-tollygunge,"Bakery, Desserts","Tollygunge, Kolkata",Opens at 8am,"88, Basanta Lal Saha Road, Tollygunge, Kolkata",9.18241E+11,1,1,0,0,-,0,3.9,68,,,,100
Calcutta 23,https://www.zomato.com/kolkata/calcutta-23-1-kidderpore,"Fast Food, Chinese","Kidderpore, Kolkata",Opens at 2pm,"130, Karl Marx Sarani, Kidderpore, Kolkata",9.19748E+11,1,1,1,0,3.5,30,4,80,,,"Fantastic Decoration, Clean and Hygienic Place, Nice Concept, Served Quickly, Best Food under Best Budget, Customizable Food",400
Vantus,https://www.zomato.com/kolkata/vantus-shyam-bazar,"North Indian, Chinese","Shyam Bazar, Kolkata",Opens at 11am,"52, Bhupen Bose Avenue, Shyam Bazar, Kolkata",9.17439E+11,1,1,1,0,3.7,10,-,9,,,"Worth the Money, Timely Service, Cafe, Great Portions, Delicious Food, Staff",300
Chowology,https://www.zomato.com/kolkata/chowology-hazra,"Chinese, Thai, Seafood, Asian, Mangalorean, Cantonese","Hazra, Kolkata",,"22, Ritchie Road, Hazra, Kolkata",9.18337E+11,1,0,0,0,-,0,4.1,530,,"Chilli Paneer Dry, Chicken Meal, Chilli Garlic Chicken, Veg Soup, Manchow Soup, Chicken Soup","Perfect Packaging, Contactless Delivery, Tamper Proof Packaging, Best Quality, Healthy Food, Fast Delivery",200
Bangla Box By Kasturi,https://www.zomato.com/kolkata/bangla-box-by-kasturi-1-gariahat,Bengali,"Gariahat, Kolkata",,"Ward - 86, 11A Dover Lane, Borough - 8, Municipal Corporation, Gariahat, Kolkata",9.18335E+11,1,0,0,0,-,0,-,5,,,,250
It's Just Wings,https://www.zomato.com/kolkata/its-just-wings-ballygunge,"American, Fast Food","Quest Mall, Ballygunge, Kolkata",,"33, 4th Floor, Quest Mall, Syed Ali Amir Avenue, Ballygunge, Kolkata",9.19831E+11,1,0,0,0,-,0,3.3,61,,,"Cheap and Affordable, Healthy and Delicious, Best Food under Best Budget, Worth the Money, Great Portions, Taste",350
Little Bites,https://www.zomato.com/kolkata/little-bites-park-circus-area,"Fast Food, Pizza, Beverages, Shake","Park Circus Area, Kolkata",Opens at 11am,"22/A, Beckbagan Row, Bourough- VIII, Park Circus Area, Kolkata",9.17003E+11,1,1,0,0,-,0,3.3,30,,,,150
Nandalal Sweets,https://www.zomato.com/kolkata/nandalal-sweets-1-picnic-garden,Mishti,"Picnic Garden, Kolkata",Opens at 8am,"1J/1, Kustia Road, Near Kustia Park, Picnic Garden, Kolkata",9.17278E+11,1,1,0,0,-,0,3.7,201,,,"Fair Prices, Healthy and Delicious, Fresh Food with Good Quality, Tamper Proof Packaging, Best Food under Best Budget, Great Portions",100
Fusion Of China,https://www.zomato.com/kolkata/fusion-of-china-kasba,"Chinese, Biryani, Kebab","Kasba, Kolkata",Opens at 12noon,"5, Block D, Sarada Pally South Twenty Four Parganas, Basanti, Kasba, Kolkata",9.13323E+11,1,1,0,0,-,0,3.5,1401,,,"Yummy Food, Cute Packaging, Proper Packaging, Great Portions, Worth the Money, Timely Service",150
Binge Bae-Fi-Kar,https://www.zomato.com/kolkata/binge-bae-fi-kar-prince-anwar-shah-road,"Healthy Food, Sandwich, Salad, Continental","Prince Anwar Shah Road, Kolkata",Opens at 8am,"26, Prince Anwar Shah Road, Kolkata",9.18697E+11,1,1,1,0,3.6,27,3.7,465,,,"Customizable Food, Elaborate Menu, Worth the Money, Fresh Food, Good Quality, Experience",600
Laiba Biryani Center,https://www.zomato.com/kolkata/laiba-biryani-center-wellesley,Biryani,"Wellesley, Kolkata",Opens at 11:30am,"B21/H/11, Alimuddin Street, Wellesley, Kolkata",9.18421E+11,1,1,0,0,-,0,-,0,,,"Cute Packaging, Extensive Menu, Food Presentation, Awesome Food, Worth the Money, Timely Service",100
Pabrai's Fresh And Naturelle Ice Cream,https://www.zomato.com/kolkata/pabrais-fresh-and-naturelle-ice-cream-girish-park,"Desserts, Ice Cream, Beverages","Girish Park, Kolkata",,"64, Vivekanada Road, Girish Park, Kolkata",9.1983E+11,1,0,0,0,-,0,4,32,,,,100
Deli Cravings,https://www.zomato.com/kolkata/deli-cravings-minto-park,"Continental, Burger, Italian, Salad","Minto Park, Kolkata",12noon – 10:30am (Today),"225/2, A.J.C. Bose Road, Minto Park, Kolkata",9.18421E+11,1,1,1,0,4.2,859,4.1,3061,,"Classic Chicken Steak, Virgin Pina Colada, Hot Pot, Berry Blast, Mozzarella Sticks, Chicken Roulade","Gastronomical Experience, Good Price, Cosy Place, View, Decent Place, Excellent Service",800
Sharma Tea Shop,https://www.zomato.com/kolkata/sharma-tea-shop-2-ballygunge,Street Food,"Ballygunge, Kolkata",,"20/1, Ashutosh Chowdhury Avenue, Ballygunge, Kolkata",9.19804E+11,1,0,0,0,-,0,3.6,37,,,,100
Calcutta Canteen,https://www.zomato.com/kolkata/calcutta-canteen-science-city-area,Bengali,"Science City Area, Kolkata",,"5, 3rd Floor, JBS Halden Avenue, Silver Arcade, Ward 58, Kolkata Municipal Corporation, Science City Area, Kolkata",9.19331E+11,1,0,0,0,-,0,4.5,173,,"Murgir Jhol, Fish Paturi, Aloo Dum, Fish Fry","Perfect Service, Great Packaging, Yummy Food, Worth the Money, Contactless Delivery, Extensive Menu",250
Cake N Cooki,https://www.zomato.com/kolkata/cake-n-cooki-topsia,Bakery,"Topsia, Kolkata",Opens at 11am,"56/15, Topsia Road South, Topsia, Kolkata",9.19832E+11,1,1,0,0,-,0,4,46,,,,50
Nepal Chandra Sweets,https://www.zomato.com/kolkata/nepal-chandra-sweets-entally,"Mishti, Desserts, South Indian, Fast Food","Entally, Kolkata",Opens at 8am,"74, CIT Road, Entally, Kolkata",9.19164E+11,1,1,0,1,-,0,3.3,739,,,,50
The Salt House,https://www.zomato.com/kolkata/the-salt-house-loudon-street-area,"Continental, Italian, Desserts, Beverages, Salad","Loudon Street Area, Kolkata",Opens at 12noon,"40, 6th Floor, Shakespeare Sarani, Shakespeare Point, Loudon Street Area, Kolkata",9.18047E+11,1,1,1,0,4.1,582,4,260,,"Hazelnut Mousse, Pork Belly, Ravioli, Risotto, Hot Chocolate, Cocktails","Rooftop Ambience, Pretty Place, Classy Decor, Gastronomical Experience, Outdoor Seating, Beautiful Ambience",2000
Crazzy Momo,https://www.zomato.com/kolkata/crazzy-momo-bhawanipur,"Tibetan, Fast Food, Momos","Bhawanipur, Kolkata",Opens at 12noon,"48/3A, Mohini Mohan Road, Bhawanipur, Kolkata",9.19874E+11,1,1,1,1,3.7,78,4.1,687,,,,300
Buzz,https://www.zomato.com/kolkata/buzz-bhawanipur,"Chinese, Tibetan","Bhawanipur, Kolkata",Opens at 12noon,"19C, Pandit Madan Mohan Malaviya Sarani, Chakraberia, Bhawanipur, Kolkata",9.19831E+11,1,1,1,0,3.5,6,3.8,198,,,,300
Fries Before Guys,https://www.zomato.com/kolkata/fries-before-guys-camac-street-area,"Fast Food, Burger","Camac Street Area, Kolkata",Opens at 12noon,"17, Ground Floor, Monalisa Building, Camac Street Area, Kolkata",9.13336E+11,1,1,1,0,2.7,7,3.6,41,,,,400
95 Degree,https://www.zomato.com/kolkata/95-degree-new-alipore,"Cafe, Continental, Fast Food, Italian, Beverages, Bakery, Salad","New Alipore, Kolkata",Opens at 11:30am,"36, Pramatha Chowdhury Sarani, New Alipore, Kolkata",9.19831E+11,1,1,1,0,3.9,172,4,519,,"Nasi Goreng, Cheesecake, Chicken Burger, Brownie, Cakes, Coffee","Friendly Staff Loved it, Variety of Pizza, Inexpensive, Food Menu, Good Wifi, Best Food under Best Budget",600
The Brewing Leaf,https://www.zomato.com/kolkata/the-brewing-leaf-hindustan-park,"Beverages, Sandwich, Continental","Hindustan Park, Kolkata",7am – 2am (Today),"19/1A, Biplabi Ambika Chakraborty Sarani, Ward-086, Borough-VIII, Hindustan Park, Kolkata",9.19331E+11,1,1,0,0,-,0,3.8,767,,,,200
SFC Food Funda,https://www.zomato.com/kolkata/sfc-food-funda-ballygunge,"Burger, Fast Food","Ballygunge, Kolkata",Opens at 12noon,"B/2A/H/12, Tijala Lane, Ballygunge, Kolkata",9.18821E+11,1,1,0,0,-,0,3.7,3237,,,,100
Green Olive,https://www.zomato.com/kolkata/green-olive-park-circus-area,"North Indian, Biryani","Park Circus Area, Kolkata",24 Hours (Today),"1, Suhrawardy Avenue, Kolkata Municipal Corporation, Park Circus Area, Kolkata",9.18778E+11,1,1,1,0,3.5,26,3.4,545,,,"Customizable Food, Elaborate Menu, Fresh Food, Good Quality",500
Fusion Fantasea,https://www.zomato.com/kolkata/fusion-fantasea-southern-avenue,"Seafood, Mughlai, Mangalorean, Bengali","Southern Avenue, Kolkata",Opens at 12noon,"14B, Anil Roy Road, Southern Avenue, Kolkata",9.17004E+11,1,1,1,0,4.4,2343,4,532,,"Squid Koliwada, Fish Tawa Fry, Fish Chettinad, Shahi Kheer, Murgh Ghee Roast, Bamboo Biriyani","Awesomely Serviced Coming Back, Everything was very Good, Service is Great and Fast, Ambience is very Nice, Fusion Food, Unique Decor",1000
Burrito Raja,https://www.zomato.com/kolkata/burrito-raja-lake-market-area,Mexican,"Lake Market Area, Kolkata","12midnight – 4:30am, 10am – 12midnight (Today)","18A, Parasar Road, Lake Market Area, Kolkata",9.19874E+11,1,1,0,0,-,0,4.1,392,,,,250
The Combo Co.,https://www.zomato.com/kolkata/the-combo-co-chowringhee,"North Indian, Chinese, Thai","Chowringhee, Kolkata",12noon – 2am (Today),"60/1 Chowringee Road, Chowringhee, Kolkata",9.19831E+11,1,1,0,0,-,0,4.3,277,,,,200
Asia House,https://www.zomato.com/kolkata/asia-house-southern-avenue,"Chinese, Thai, Asian, Seafood","Southern Avenue, Kolkata",,"17, Lake View Road, Southern Avenue, Kolkata",9.13341E+11,1,0,0,0,-,0,4.3,2999,,"Stir Fry Pork, Barbeque Pork, Nasi Goreng Rice, Basil Rice, Thick Soup, Chilli Garlic Noodles","Warm Hospitality, New Menu, Comfort Food, More Variety, Authentic Taste, Host",300
Cantonese Restaurant,https://www.zomato.com/kolkata/cantonese-restaurant-jadavpur,"Chinese, Thai, Seafood, Cantonese","Jadavpur, Kolkata",12noon – 11:30pm (Today),"7, 1st Floor, Raja S.C. Mullick Road, Near Jadavpur University, Jadavpur, Kolkata",9.17044E+11,1,1,1,0,4.3,590,4.3,1330,,"Succulent Pork, Prawn Chip, Thai Chilli Chicken, Prawn Wafers, Pot Rice, Chilli Wine Fish","Affordable Food, Ample Seating Area, Quality of Food, Cozy, More Variety, Waiting Time",650
Sigree Global Grill,https://www.zomato.com/kolkata/sigree-global-grill-science-city-area,"North Indian, Biryani","Silver Spring Arcade, Science City Area, Kolkata",Opens at 12noon,"1st Floor, Silver Spring Arcade, EM Bypass, Science City Area, Kolkata",9.19331E+11,1,1,1,0,4.4,3379,3.8,149,Exciting Grills From All Across The Globe.,"Bread Platter, Chicken Bbq Wings, Jal Jeera, Dinner Buffet, Kaffir Lime, Chicken Starters","Live Grill, Complimentary Drinks, Service and Quality of Food, Superb Ambience, Comfortable Seating, Live Kitchen",1800
Green Palace,https://www.zomato.com/kolkata/green-palace-bhawanipur,"Bengali, Chinese, North Indian","Bhawanipur, Kolkata",Opens at 12noon,"42 B, Ashutosh Mukharjee Road, Bhawanipur, Kolkata",9.13325E+11,1,1,1,0,3.6,163,4.1,1881,,,"Great Place, Good Food, Food Quality, Prices, Ambience, Staff",800
Calcutta Pi,https://www.zomato.com/kolkata/calcutta-pi-jodhpur-park,"Bengali, North Indian","Jodhpur Park, Kolkata",Opens at 12noon,"390A, Jodhpur Park, Kolkata ",9.17596E+11,1,1,1,0,4.2,395,4,1701,,"Chicken Peshawari, Dimer Devil, Kasha Mangsho, Gondhoraj Chicken, Daab Chingri, Authentic Bengali Food","Themed Decor, Gastronomical Experience, Family Place, Host, Staff Behavior, Packed on Weekends",800
Bakeflake Deli,https://www.zomato.com/kolkata/bakeflake-deli-kasba,"Continental, Mediterranean, Middle Eastern, American, Mexican, Salad, Fast Food, Italian","Kasba, Kolkata",,"1G, 1st Floor, Natore Park, Ward 67, Kasba, Kolkata",9.19875E+11,1,0,0,0,-,0,4.2,243,,,,350
House Of Candy,https://www.zomato.com/kolkata/house-of-candy-prince-anwar-shah-road,Desserts,"South City Mall, Prince Anwar Shah Road, Kolkata",Opens at 10:30am,"3rd Floor, South City Mall, Prince Anwar Shah Road, Kolkata",9.19052E+11,1,1,0,0,-,0,4,10,,,,200
Star Zoya Biryani,https://www.zomato.com/kolkata/star-zoya-biryani-bow-bazar,"Biryani, North Indian","Bow Bazar, Kolkata",Opens at 12:30pm,"58/1, Nirmal Chandra Street, Bow Bazar, Kolkata",9.19608E+11,1,1,1,0,3.6,102,4,5192,,,"Good Quality, Quantity, Price, Food",300
Shree Ganpati Sweets,https://www.zomato.com/kolkata/shree-ganpati-sweets-lake-gardens,"Finger Food, Mishti, North Indian, Mithai","Lake Gardens, Kolkata",Opens at 8:30am,"48/5A, Purna Chandra Mitra Lane, Near Swiss Park, Lake Gardens, Kolkata",9.19675E+11,1,1,0,1,-,0,3.8,136,,,,300
The Fat Little Penguin,https://www.zomato.com/kolkata/the-fat-little-penguin-ballygunge,"Ice Cream, Desserts","Ballygunge, Kolkata",Opens at 11am,"11C, Palm Avenue, Opposite Mahadevi Birla School, Ballygunge, Kolkata",9.19655E+11,1,1,0,0,-,0,3.5,181,,"Ice Cream Sandwiches, Dark Chocolate Ice Cream, Ice Creams, Icecream","Proper Packaging, Cute Packaging, Worth the Money, Great Portions, Customizable Food, Good Quality",200
@49,https://www.zomato.com/kolkata/49-maniktala,"Chinese, North Indian, Bengali","Maniktala, Kolkata",Opens at 12noon,"116, Vivekananda Road, Near YMCA Hostel, Maniktala, Kolkata",9.18337E+11,1,1,1,0,4.3,1533,3.7,1870,,"Mutton Kolhapuri, Chicken Tikka Gravy, Keema Pulao, Murg Makhani, Mutton Rogan, Thai Chicken","Balcony Seating, Rooftop Dining, Rooftop Seating, Chirpy Crowd, Rooftop Ambience, Bang for the Buck",900
Royal China,https://www.zomato.com/kolkata/royal-china-elgin,"Chinese, Cantonese, Asian, Seafood, Desserts","Elgin, Kolkata",Opens at 12noon,"10/3, 4th Floor, Forum Courtyard, Elgin Road, Near Elgin, Kolkata",9.1334E+11,1,1,1,0,4,237,4,340,,"Black Pepper Lamb, Dimsums, Lamb, Sauce, Chicken","Perfect Presentation, Family Crowd, Good Wifi, Vibe, Elaborate Menu, Worth the Money",1500
Firangi Bake,https://www.zomato.com/kolkata/firangi-bake-alipore,"Italian, Mexican, Fast Food","Alipore, Kolkata",,"Premises 2, Ground Floor, Agrawal House, Ward 75, Munshi Premchand Road, Alipore, Kolkata",9.1771E+11,1,0,0,0,-,0,4.3,124,,,,250
Biryani Corner,https://www.zomato.com/kolkata/biryani-corner-lake-market-area,"Biryani, Chinese","Lake Market Area, Kolkata",Opens at 10am,"86 A, Rashbehari Avenue, Lake Market Area, Kolkata",9.13365E+11,1,1,0,0,-,0,4.3,721,,,,100
Brother's Snacks,https://www.zomato.com/kolkata/brothers-snacks-1-wellesley,"Fast Food, Chinese","Wellesley, Kolkata",Opens at 10am,"1, Near New Empire Cinema Building, Wellesley, Kolkata",9.18335E+11,1,1,1,0,-,1,-,3,,,,300
8th Day Cafe & Bakery,https://www.zomato.com/kolkata/8th-day-cafe-bakery-park-circus-area,"Bakery, Fast Food, Sandwich, Beverages","Park Circus Area, Kolkata",Opens at 9am,"Arcadia, 6, West Range, Mullick Bazar, Park Circus Area, Kolkata",9165005553,1,1,1,0,4.2,1088,4,1492,,"Whole Wheat Bagel, Salted Caramel Cupcake, Banana Bread, Potato Soup, Cinnamon Roll, Coffee Hazelnut","Couple Friendly, Classy Decor, Beautiful Cafe, Affordable, Art, Brunch",600
Sip & Sandwich,https://www.zomato.com/kolkata/sip-sandwich-chowringhee,"Sandwich, Burger, Wraps, Beverages","Chowringhee, Kolkata",Opens at 9:30am,"1, Shakesphare Sarani, AC Market, Chowringhee, Kolkata",9.19748E+11,1,1,0,0,-,0,3.7,2229,,"Corn Sandwich, Mixed Sauce Pasta, Sandwiches, Burgers","Prices, Worth the Money, Delicious Food, Good Food, Menu, Staff",100
Fantastic Food Story,https://www.zomato.com/kolkata/fantastic-food-story-girish-park,"North Indian, Chinese, Fast Food, Beverages, Desserts","Girish Park, Kolkata",Opens at 11am,"48, Vivekananda Road, Girish Park, Kolkata",9.19832E+11,1,1,1,0,4,361,4,5990,,"Jeera Rice, Malai Kofta, Masala Dosa, Dal Makhani, Hakka Noodles","Cordial Staff, Relaxed Atmosphere, Family Restaurant, Family Crowd, Awesome Food, Tasty Food",850
The Dugout,https://www.zomato.com/kolkata/the-dugout-bhawanipur,"Italian, Chinese, Fast Food, Beverages","Bhawanipur, Kolkata",24 Hours (Today),"31, Sarat Bose Road, Bhawanipur, Kolkata",9.18982E+11,1,1,1,0,4.4,1857,4,1412,The Football themed decor.,"Cheese Corn Roll, Italian Sizzler, Mexican Rice, Cheese Fondue, Kit Kat Shake, Shisha","Sporty Ambience, Sound System, Hookah Lovers, Amazing Music, Live Sports, Awesome Music",1200
The Royal Bengal Tiger Cafe,https://www.zomato.com/kolkata/the-royal-bengal-tiger-cafe-southern-avenue,"Cafe, Fast Food, Bengali, Beverages, Shake","Southern Avenue, Kolkata",Opens at 11am,"78, P-78, Ground Floor, Hemanta Mukhopadhyay Sarani, Rabindra Sarabar, Ward 90, Borough 8, Lake Road, Southern Avenue, Kolkata",9.18018E+11,1,1,1,0,3.6,8,4,6,,,,450
The Cream & Fudge Factory,https://www.zomato.com/kolkata/the-cream-fudge-factory-southern-avenue,"Ice Cream, Desserts, Beverages","Southern Avenue, Kolkata",Opens at 11am,"22/A, Cocker's Lane, Southern Avenue, Kolkata",9.13346E+11,1,1,0,0,3.3,60,3.4,286,,,"Totally Worth it, Table Service, Pretty Decor, Quantity, Packaging",400
The Bikers Cafe,https://www.zomato.com/kolkata/the-bikers-cafe-elgin,"Italian, American, Continental, Desserts","Elgin, Kolkata",Opens at 8am,"31, Lala Lajpat Rai Sarani, Kolkata Municipal Corporation, Elgin, Kolkata",9.19675E+11,1,1,1,0,4.4,3510,4.1,2309,The rustic ambiance with the biker feel to it,"Potato Potholes, Basil Bruschetta, Fruit Crepe, French Benedict, Strawberry Waffle, Kiwi Mocktail","Breakfast Joint, Wooden Interiors, Different Ambience, Live Band, Cool Decor, Free Wifi",1100
Bombay Brasserie,https://www.zomato.com/kolkata/bombay-brasserie-ballygunge,"North Indian, Modern Indian, Tea","Quest Mall, Ballygunge, Kolkata",Opens at 11:30am,"33, 5th Floor, Quest Mall, Syed Ali Amir Avenue, Ballygunge, Kolkata",9.19073E+11,1,1,1,0,4.4,1518,4.1,809,Indian desserts served in style!,"Chur Chur Parantha, Amritsari Kulfa, Dumpukht Biryani, Salli Chicken, Prawn Koliwada, Soda Sikhanji","Bright Lights, Classy Decor, Live Kitchen, Classy Ambience, New Menu, Soothing Ambience",1900
