Name,URL,Cuisines,Area,Timing,Full_Address,PhoneNumber,IsHomeDelivery,isTakeaway,isIndoorSeating,isVegOnly,Dinner Ratings,Dinner Reviews,Delivery Ratings,Delivery Reviews,KnownFor,PopularDishes,PeopleKnownFor,AverageCost,latitudes,longitudes
Momo I Am,https://www.zomato.com/kolkata/momo-i-am-golpark,"Chinese, Momos, Tibetan, Asian, Beverages","Golpark, Kolkata",Opens at 12noon,"43, Ballygunge Gardens, Golpark, Kolkata",918585000000,1,1,1,0,4.5,1754,4.2,5440,,"Vegetable Thukpa, Kamikaze, Chicken Kothay, Momo Platter, Tempura Fish, Chicken Shyapta","Family Favorite, Bright Lights, Affordable Rate, Themed Decor, Good Vibe, Bowls",600,22.513432100000003,88.40174450550997
BarBQ,https://www.zomato.com/kolkata/barbq-park-street-area,"Chinese, North Indian, Asian","Park Street Area, Kolkata",Opens at 11:30am,"43-47-55, Park Street Area, Kolkata",913346000000,1,1,1,0,4.5,8326,4.2,18000,,"Cashew Nut Chicken, Masala Prawn, Sliced Chilli Pork, Opposite Flurys, Pork Manchurian, Schezwan Chilli Chicken","Price Vs Portion Size, Huge Seating Area, North Indian, Large Portions, Attentive Service, Efficient Service",1200,52.0855618,-0.7272059
Kreamz,https://www.zomato.com/kolkata/kreamz-kidderpore,"Bakery, Desserts, Fast Food","Kidderpore, Kolkata",,"1/2, Ram Kamal Street, Kidderpore, Kolkata",919830000000,1,0,0,0,-,0,3.7,23,,,,100,22.53538,88.3206094
Kela Patta,https://www.zomato.com/kolkata/kela-patta-picnic-garden,South Indian,"Picnic Garden, Kolkata",,"143/105A, Picnic Garden, Kolkata",918942000000,1,0,0,0,-,0,4,3771,,,"Good Taste, Extensive Menu, Worth the Money, Great Portions, Good Quality",100,22.5259951,88.3892586
Ek Din Prati Din,https://www.zomato.com/kolkata/ek-din-prati-din-1-new-alipore,"Bengali, Chinese, North Indian, Rolls","New Alipore, Kolkata",Opens at 11:30am,"19/6, Plot 112, Sahapur Colony, New Alipore, Kolkata",916292000000,1,1,1,0,3.3,80,3.6,3566,,,,300,22.51116475,88.3281116098478
Tea Junction,https://www.zomato.com/kolkata/tea-junction-park-street-area,"Tea, Beverages","Park Street Area, Kolkata",Opens at 9:30am,"71, Park Plaza, Park Street, Park Street Area, Kolkata",916291000000,1,1,0,0,3.1,0,4.4,361,,,,300,52.0855618,-0.7272059
The French Loaf,https://www.zomato.com/kolkata/the-french-loaf-elgin,"Bakery, Desserts, Fast Food, Pizza","Elgin, Kolkata",Opens at 7:18am,"Ground Floor, Vasundhara Building, 2/7, Elgin, Kolkata",919331000000,1,1,1,0,3.9,377,4.1,1367,,"Blueberry Cheesecake, Pastries, Breads, Brownies, Hot Chocolate, Sandwiches","Perfect Place, Nice Place, Cafe, Prices, Staff, Ambiance",400,22.537374800000002,88.34756170104649
UBQ By Barbeque Nation,https://www.zomato.com/kolkata/ubq-by-barbeque-nation-park-street-area,"North Indian, Biryani, Kebab, BBQ","Park Street Area, Kolkata",,"1st Floor, Park Center, Building 24, Park Street Area, Kolkata",918584000000,1,0,0,0,-,0,3.8,3965,,,"Proper Packaging, Extensive Menu, Worth the Money, Great Portions, Timely Service, Delicious Food",300,52.0855618,-0.7272059
LunchBox - Meals and Thalis,https://www.zomato.com/kolkata/lunchbox-meals-and-thalis-ballygunge,"North Indian, Healthy Food, Shake, Desserts","Ballygunge, Kolkata",,"29, 1st Lane, Near Repose Nursing Home, Ballygunge, Kolkata",917305000000,1,0,0,0,-,0,4.1,559,,,,200,22.5280337,88.3659084
Kochi Kalapata,https://www.zomato.com/kolkata/kochi-kalapata-taltala,"Bengali, North Indian, Chinese","Taltala, Kolkata",Opens at 12noon,"8, Puran Chand Avenue, Taltala, Kolkata",919903000000,1,1,1,0,3.6,30,4.2,775,,,"Family Crowd, Customizable Food, Elaborate Menu, Fresh Food, Good Quality, Value for Money",450,22.474209950000002,88.35512632362978
Abhinandan,https://www.zomato.com/kolkata/abhinandan-bara-bazar,"North Indian, Street Food","Bara Bazar, Kolkata",Opens at 11am,"23, Burtolla Street, Near Satyanarayan Park, AC Market, Bara Bazar, Kolkata",919332000000,1,1,0,0,-,0,3.6,6576,,"Dum Aloo Kashmiri, Kachori Sabzi, Veg Cutlet, Paneer Roll",,50,22.5801792,88.3528098
Noodle King,https://www.zomato.com/kolkata/noodle-king-picnic-garden,"Chinese, Momos, Seafood","Picnic Garden, Kolkata",Opens at 11am,"44/7A, C.N. Roy Road, Picnic Garden, Kolkata",918420000000,1,1,0,0,-,0,3.8,2011,,,"Cute Packaging, Great Taste, Food Presentation, Worth the Money, Great Portions, Extensive Menu",150,22.5259951,88.3892586
Thakur Mahal,https://www.zomato.com/kolkata/thakur-mahal-bara-bazar,North Indian,"Bara Bazar, Kolkata",Opens at 11:30am,"7, Babulal Lane, Bara Bazar, Kolkata",913323000000,1,1,1,0,4,414,3.9,5083,,,"Great Ambiance, Worth the Money, Quality Food, Good Food, Price, Service",300,22.5801792,88.3528098
Chai Break,https://www.zomato.com/kolkata/chai-break-1-elgin,"Cafe, Fast Food, Chinese, Italian, Pizza, Tea, Beverages","Elgin, Kolkata",Opens at 10am,"1, Ground Floor, Allenby Road, Elgin, Kolkata",918337000000,1,1,1,1,3.3,69,3.8,602,,,"Hookahs, Good Wifi, Student Crowd, Young Crowd, Customizable Food, Elaborate Menu",800,22.537374800000002,88.34756170104649
Mainland China,https://www.zomato.com/kolkata/mainland-china-ballygunge,"Chinese, Desserts, Beverages","Ballygunge, Kolkata",Opens at 12:30pm,"3A, Uniworth House, Gurusaday Road, Ballygunge, Kolkata",916292000000,1,1,1,0,4.6,2657,4.3,2008,Chinese Flavors That Truly Have a 'Different' Tantalizing Effect on Taste Buds.,"Crispy Spicy Chicken, Crackling Spinach, Mango Souffle, Mango Pudding, Jasmine Tea, Chicken Sui Mai","Intimate Setting, Great for Dates, Sophisticated, Worth the Price, Valet Service, Large Portions",2000,22.5280337,88.3659084
Cafe Coffee Day,https://www.zomato.com/kolkata/cafe-coffee-day-2-elgin,"Coffee, Desserts, Fast Food, Beverages","Elgin, Kolkata",Opens at 8am,"Court 13, Binany Building, Woodburn Park, Elgin, Kolkata",916364000000,1,1,1,0,2.8,82,3.6,170,,,,500,22.537374800000002,88.34756170104649
Thali Gharwali,https://www.zomato.com/kolkata/thali-gharwali-tollygunge,"North Indian, Fast Food, Beverages","Tollygunge, Kolkata",Opens at 9:30am,"48/33, Swiss Park, Tollygunge, Kolkata",913340000000,1,1,0,1,-,0,3.7,2493,,,"Customizable Food, Great Portions, Good Quality, Fresh Food, Price, Service",100,22.498636,88.3453908
"Rollick- Ice Creams, Cakes & Desserts",https://www.zomato.com/kolkata/rollick-ice-creams-cakes-desserts-park-street-area,"Desserts, Ice Cream, Beverages, Bakery","Park Street Area, Kolkata",Opens at 11am,"1A, Russel Street, Park Street Area, Kolkata",919830000000,1,1,1,0,4.2,441,4.1,1925,,"Chocolate Explosion, Ice Cream Sundae, Chocolate Fudge, Sundae, Icecream, Brownie","Pocket Friendly, Courteous Staff, Student Crowd, Seating, Presentation, Good Ambience",200,52.0855618,-0.7272059
New Paul Dhaba Delight,https://www.zomato.com/kolkata/new-paul-dhaba-delight-maniktala,"Biryani, North Indian, Mughlai, Chinese","Maniktala, Kolkata",,"167A, Vivekanand Road, Maniktala, Kolkata",916290000000,1,0,0,0,-,0,3.7,4627,,,,150,22.5880896,88.3852834
Oh! Calcutta,https://www.zomato.com/kolkata/oh-calcutta-elgin,"Bengali, Seafood","Forum Mall, Elgin, Kolkata",Opens at 12:30pm,"10/3, 4th Floor, Forum Mall, Elgin Road, Near Elgin, Kolkata",919331000000,1,1,1,0,4.7,1997,4.4,1291,Bengali Cuisine & Weekend Lunch Buffet,"Smoked Hilsa, Railway Mutton, Kacha Lonka Murgi, Boneless Hilsa, Gondhoraj Bhetki, Chingri Macher Malaikari","Intimate Setting, Sophisticated, Worth the Price, Serving Size, Wonderful Service, More Variety",2000,22.5384588,88.35098571918229
Gusto Pizza,https://www.zomato.com/kolkata/gusto-pizza-kalighat,Pizza,"Kalighat, Kolkata","12midnight â€“ 4:30am, 10am â€“ 12midnight (Today)","18A, Lake Market, Parasar Road, Kalighat, Kolkata",918241000000,1,1,0,0,-,0,3.9,2874,,"Cheese Burst, Bacon, Wings, Pizzas","Delicious Taste, Proper Packaging, Worth the Money, Great Portions, Extensive Menu, Elaborate Menu",250,22.5153313,88.3477052
fnpCakes â€˜nâ€™ more,https://www.zomato.com/kolkata/fnpcakes-n-more-elgin,"Bakery, Desserts","Elgin, Kolkata",Opens at 7am,"13, Lala Lajpat Roy, Sarani, Elgin, Kolkata",913346000000,1,1,0,0,-,0,4.1,1985,,,,150,22.537374800000002,88.34756170104649
Ovenstory Pizza,https://www.zomato.com/kolkata/ovenstory-pizza-ballygunge,"Pizza, Fast Food, Italian","Ballygunge, Kolkata",,"29, 1st Lane, Ballygunge, Kolkata",917738000000,1,0,0,0,-,0,4,1658,,,"Proper Packaging, Worth the Money, Extensive Menu, Great Portions, Fresh Food, Timely Service",250,22.5280337,88.3659084
Anand Restaurant,https://www.zomato.com/kolkata/anand-restaurant-chandni-chowk,"South Indian, Street Food, Fast Food, Pizza, Desserts, Beverages","Chandni Chowk, Kolkata",Opens at 11am,"19, C.R Avenue, Near Dalhousie Square Area, Chandni Chowk, Kolkata",913322000000,1,1,1,1,4.3,1302,4.3,4635,Legendary south Indian servings,"Vada Sambar, Filtered Coffee, Sambhar, Dahi Vada, Chole, Idli","Pure Veg, Decent Ambience, South Indian Food, Ample Seating Area, Family Restaurant, Polite",500,22.5640235,88.3608177
Faasos - Wraps & Rolls,https://www.zomato.com/kolkata/faasos-wraps-rolls-ballygunge,"Fast Food, Rolls, Wraps, Shake","Ballygunge, Kolkata",,"29, 1st Lane, Ballygunge, Kolkata",917700000000,1,0,0,0,-,0,4.1,3105,,,"Tamper Proof Packaging, Customizable Food, Great Portions, Worth the Money, Timely Service, Elaborate Menu",200,22.5280337,88.3659084
Just Baked,https://www.zomato.com/kolkata/just-baked-paddapukur,"Bakery, Desserts, Fast Food, Beverages","Paddapukur, Kolkata",Opens at 11am,"29, Beltala Road, Paddapukur, Kolkata",919230000000,1,1,0,0,-,0,4,35,,,,50,22.50502445,88.30295777651463
Burger In Law-The Delivery Kitchen,https://www.zomato.com/kolkata/burger-in-law-the-delivery-kitchen-kasba,"Burger, Fast Food, Desserts, Beverages","Kasba, Kolkata",,"15, Swinhoe Lane, Kasba, Kolkata",917596000000,1,0,0,0,-,0,4,3893,,"Hazelnut Mocha, Classic Chicken Burger, Cheesy Fries, Burgers, Chicken Wings","Packing, Flavour, Price, Quantity",150,22.5044355,88.3721663
Bhooter Raja Dilo Bar,https://www.zomato.com/kolkata/bhooter-raja-dilo-bar-jadavpur,"Bengali, Bangladeshi, Seafood, Desserts","Jadavpur, Kolkata",11am â€“ 10:30am (Today),"174, 175 & 179, Block C, Raja S.C. Mallick Road, Jadavpur, Kolkata",913340000000,1,1,1,0,4,682,3.9,7771,Authentic Bengali Food,"Begun Basanti, Kochu Chingri, Bengali Pulao, Mochar Ghonto, Daab Chingri, Bhetki Paturi","Themed Decor, Pocket Friendly Restaurant, Song, Good for Large Groups, Family Place, Nice Concept",450,22.495499,88.3709006
Pabrai's Fresh And Naturelle Ice Cream,https://www.zomato.com/kolkata/pabrais-fresh-and-naturelle-ice-cream-jodhpur-park,"Ice Cream, Desserts, Shake","Jodhpur Park, Kolkata",Opens at 10am,"1/428, Ward 93, Gariahat Road, Jodhpur Park, Kolkata",917440000000,1,1,1,0,3.5,18,4.4,906,,,"Awesome Spot to Hangout, Excellent Location, Fresh Food with Good Quality, Food Presentation, Extensive Menu, Timely Service",200,22.5056055,88.363674
Govinda's,https://www.zomato.com/kolkata/govindas-ballygunge,"North Indian, South Indian, Chinese, Beverages, Desserts","Ballygunge, Kolkata",Opens at 8am,"22, Iskcon House, Gurusaday Road, Ballygunge, Kolkata",919052000000,1,1,1,1,4.2,828,4.1,2402,"Serving pure vegetarian food across Indian and Chinese cuisines, with devotion","Tiranga Paneer, Thali, Paneer Butter Masala, Dal Makhani, Sweets","Family Favorite, Comfortable Seating Area, Gastronomical Experience, Family Restaurant, Amazing Food, Courteous Staff",750,22.5280337,88.3659084
Krazzy For Waffle,https://www.zomato.com/kolkata/krazzy-for-waffle-paddapukur,"Bakery, Ice Cream, Desserts, Waffle, Beverages, Shake","Paddapukur, Kolkata",Opens at 9am,"33a, Sarat Bose Road, Paddapukur, Kolkata",916291000000,1,1,1,0,3.8,17,3.5,1019,,,"Best Staff, Student Crowd, Best Food under Best Budget, Elaborate Menu, Customizable Food, Good Quality",500,22.50502445,88.30295777651463
Sufi Palace,https://www.zomato.com/kolkata/sufi-palace-college-street,"North Indian, Chinese, Mughlai, Seafood, Biryani","College Street, Kolkata",Opens at 11am,"113, Mahatma Gandhi Road, College Street, Kolkata",918450000000,1,1,1,0,4.3,863,4.2,7380,,"Chicken Methi Malai, Masala Tikka, Chicken Kebab Platter, Mutton Tikia, Special Mutton Biryani, Firni","Rooftop Ambience, Affordable, Ample Seating Area, Calm, Reasonable Rate, Ambience was Super Cool",700,22.5671979,88.3601304
Jashoda Mistanna Bhandar,https://www.zomato.com/kolkata/jashoda-mistanna-bhandar-taltala,"Mishti, Fast Food","Taltala, Kolkata",Opens at 6am,"50/1, S.N  Banerjee Road, Taltala, Kolkata",918421000000,1,1,0,1,-,0,4.3,4336,,"Misti Dahi, Rasagulla, Kalakand, Sandesh, Sweets, Platter","Proper Packaging, Extensive Menu, Worth the Money, Great Portions, Value for Money, Timely Service",100,22.474209950000002,88.35512632362978
Tandoor Park,https://www.zomato.com/kolkata/tandoor-park-dhakuria,"North Indian, Chinese, Bengali, Fast Food","Dhakuria, Kolkata",Opens at 11am,"28/4, Gariahat Road, Opposite Jodhpur Park Post Office, Dhakuria, Kolkata",919163000000,1,1,1,0,4.2,2627,4.2,6978,"Good food, better ambiance!","Bharwan Tengri, Mutton Peshwari, Tandoor Murgh, Chicken Rara Masala, Vodka Cocktail, Tikka Makhani","Lightings, Serving Size, Comfortable Seating, Nice Location, Cozy Ambience, Affordable",900,22.5094085,88.371185
Gupta Brothers,https://www.zomato.com/kolkata/gupta-brothers-park-street-area,"Mishti, Fast Food, North Indian, Chinese, Sandwich","Park Street Area, Kolkata",Opens at 6:30am,"12B/2, Ground Floor, Park Street Area, Kolkata",919836000000,1,1,1,0,2.5,9,3.7,1798,,,,350,52.0855618,-0.7272059
The 6 Russel Street,https://www.zomato.com/kolkata/the-6-russel-street-theatre-road,"Rolls, Fast Food, Chinese","Theatre Road, Kolkata",Opens at 10:30am,"6, Anandilal Poddar Sarani, Ward 63, Theatre Road, Kolkata",919837000000,1,1,0,0,-,0,3.9,7804,,"Bhetki Roll, Chicken Roll, Sandwiches, Fish Fry","Tasty, Reasonable Price, Timely Service, Spicy, Good Food, Great Portions",150,22.5442409,88.3592663
Ashraf Biryani Centre,https://www.zomato.com/kolkata/ashraf-biryani-centre-topsia,"Biryani, Street Food","Topsia, Kolkata",,"14, Kustia Road, Topsia, Kolkata",919749000000,1,1,1,0,3.9,208,4,2192,,,,250,22.5418017,88.3869552
The Cake Xpress,https://www.zomato.com/kolkata/the-cake-xpress-minto-park,"Bakery, Desserts, Beverages, Shake","Minto Park, Kolkata",,"8/1/3, Loudon Street, Near Shushila Devi Birla School, Minto Park, Kolkata",913340000000,1,0,0,0,-,0,3.7,401,,,"Customizable Food, Worth the Money, Elaborate Menu, Good Quality, Timely Service, Fresh Food",50,22.541947399999998,88.35471347839723
Sharma Dhaba,https://www.zomato.com/kolkata/sharma-dhaba-ballygunge,"North Indian, Mughlai, Chinese, Rolls, Kebab, Beverages","Ballygunge, Kolkata",24 Hours (Today),"17/1B, Ballygunge Circular Road, Near Ballygunge Maidan Camp, Ballygunge, Kolkata",913325000000,1,1,1,0,4.1,997,3.9,9888,The Great Indian Dhaba Food!,"Liver Masala, Tangdi Kabab, Roomali Roti, Chai, Chicken Bharta, Chicken Tandoori","Great Seating Capacity, Very Cheap, Desi Vibes, Pocket Friendly, Yummy Food, Parking",700,22.5280337,88.3659084
Petuk Bangali,https://www.zomato.com/kolkata/petuk-bangali-maniktala,"Bengali, North Indian, Bangladeshi","Maniktala, Kolkata",,"20, Vidyasagar Street, Maniktala, Kolkata",919830000000,1,0,0,0,-,0,4,955,,,"Delicious Taste, Mouth Watering Food, Affordable Prices, Spill Proof Packaging, Best Food under Best Budget, Extensive Menu",250,22.5880896,88.3852834
Sweet Truth - Cake and Desserts,https://www.zomato.com/kolkata/sweet-truth-cake-and-desserts-alipore,"Bakery, Desserts","Alipore, Kolkata",,"Premises 2, Ground Floor, Agrawal House, Ward 75, Munshi Premchand Road, Alipore, Kolkata",917710000000,1,0,0,0,-,0,4.1,265,,,,300,22.5264928,88.3323692
Bedouin - Sher-E-Bengal,https://www.zomato.com/kolkata/bedouin-sher-e-bengal-gariahat,"Chinese, North Indian, Bengali, Mughlai","Gariahat, Kolkata",Opens at 10:30am,"200/2B, Rash Behari Avenue, Gariahat, Kolkata",913341000000,1,1,1,0,4,1049,4.2,1295,,"Chicken Lababdar Masala, Crunchy Chicken, Mughlai Food, Butter Nan, Tandoori Chicken, Chicken Bharta","Good for Large Groups, Themed Decor, Prime Location, Servicing, Family Place, Good Location",600,22.5196384,88.3656241
Dimpi,https://www.zomato.com/kolkata/dimpi-shyam-bazar,"North Indian, South Indian, Chinese, Biryani, Desserts, Beverages","Shyam Bazar, Kolkata",Opens at 9am,"128/8A, Bidhan Sarani, Five Point Crossing, Shyam Bazar, Kolkata",919904000000,1,1,1,1,3.6,639,4,6280,,"Stuffed Potato, Mixed Vegetables, Hot Gulab Jamun, Kulfi, Lassi, Dosa","Not very Crowded, Great Ambiance, Prompt Service, Polite Staff, Seating, Environment",400,22.5979916,88.3694857
Banana Leaf @ Komala Vilas,https://www.zomato.com/kolkata/banana-leaf-komala-vilas-lake-market-area,"South Indian, Chinese, Beverages, Shake","Lake Market Area, Kolkata",Opens at 8am,"75, Rashi Behari Avenue, Lake Market Area, Kolkata",919609000000,1,1,1,0,4.3,1755,4.1,940,Authentic South Indian Cuisine,"Cheese Butter Masala, Uttapam Platter, South Indian Meals, Idli Platter, Sada Vada, Filtered Coffee","South Indian Food, Affordable, Family Place, Clean, Themed Decor, Authentic Taste",500,22.51637855,88.34872333799815
Shree Ram Dhaba,https://www.zomato.com/kolkata/shree-ram-dhaba-bara-bazar,North Indian,"Bara Bazar, Kolkata",Opens at 11am,"147/1B, Mahatma Gandhi Road, Bara Bazar, Kolkata",919831000000,1,1,1,0,4,242,4.1,3670,,,"Casual Seating Area, Lip Smacking Food, Prompt Service, Great Food, Worth the Money, Good Food",200,22.5801792,88.3528098
Arun Tea Stall,https://www.zomato.com/kolkata/arun-tea-stall-theatre-road,"Street Food, Tea","Theatre Road, Kolkata",Opens at 8am,"25/1, Shakespeare Sarani, Theatre Road, Kolkata",919748000000,1,1,0,1,-,0,4.1,7189,The famous chai break adda for students!,"Club Kachori, Chai, Samosa, Tea, Gulab Jamun, Snacks","Economical, Great Recommendations, Breakfast, Prompt Service, Flavour, Quality",100,22.5442409,88.3592663
Food@99,https://www.zomato.com/kolkata/food@99-topsia,"Pizza, Sandwich, Fast Food, Street Food, Beverages","Topsia, Kolkata",,"15A, 4th Floor, Hossain Manzil, GJ Khan Road, Tiljala, Topsia, Kolkata",917004000000,1,0,0,0,-,0,3.9,731,,,,200,22.5418017,88.3869552
Chili's Grill & Bar,https://www.zomato.com/kolkata/chilis-grill-bar-ballygunge,"Mexican, Italian, American, Tex-Mex, Seafood, Beverages","Quest Mall, Ballygunge, Kolkata",Opens at 12noon,"33, 4th Floor, Quest Mall, Syed Ali Amir Avenue, Ballygunge, Kolkata",913323000000,1,1,1,0,4.6,8457,4,3844,Customer Friendly Staff and Huge Beer Mugs!,"Country Style Chicken, Classic Chicken Fajita, Steak Fajita, Cherry Cola, Orleans Jambalaya, Triple Dipper Platter","Good Server, Efficient Staff, Friendly Stuff, Great Host, Lovely Service, Fantastic Service",1200,22.539025350000003,88.36570191241475
Peter Cat,https://www.zomato.com/kolkata/peter-cat-park-street-area,"North Indian, Continental, Mughlai, Desserts, Fast Food, Beverages","Park Street Area, Kolkata",Opens at 12noon,"18A, Park Street, Park Street Area, Kolkata",913322000000,1,1,1,0,4.4,12700,4.1,7450,Pioneer of Kolkata's famous Chelo Kebabs,"Chicken Marakesh, Pistachio Ice Cream, Fish Meuniere, Prawn Butter Masala, Fish Makhmali Kebab, Sizzling Chicken","Family Favorite, Courteous Waiters, Retro Ambience, Classic Ambience, Sophisticated Ambience, Valet Service",1000,52.0855618,-0.7272059
Dosa Coffee,https://www.zomato.com/kolkata/dosa-coffee-elgin,"South Indian, Beverages","Elgin, Kolkata",Opens at 8am,"11/1, Ideal Plaza, Sarat Bose Road, Elgin, Kolkata",919904000000,1,1,1,0,4.2,350,3.9,1670,,"Ghee Roast Dosa, Mysore Dosa, Chutneys, Sambhar, Vada, Coffee","Customizable Dishes, Polite Staff, South Indian Food, Authentic Taste, Weekend Brunch, Family Crowd",400,22.537374800000002,88.34756170104649
New Noodle King,https://www.zomato.com/kolkata/new-noodle-king-park-street-area,"Chinese, Seafood, Momos","Park Street Area, Kolkata",11am â€“ 3am (Today),"51, Rafi Ahmed Kidwai Road, Park Street Area, Kolkata",917980000000,1,1,1,0,3.4,10,3.9,1283,,,"Worth the Money, Great Portions, Delicious Food, Timely Service, Quality",400,52.0855618,-0.7272059
Krazy For Chocolates,https://www.zomato.com/kolkata/krazy-for-chocolates-minto-park,"Bakery, Beverages, Ice Cream, Waffle, Fast Food","Minto Park, Kolkata",Opens at 8:30am,"6, The Regency, Hungerford Street, Minto Park, Kolkata",919675000000,1,1,1,0,4,175,4.1,945,,"Cupcakes, Pastry, Cheesecake, Chocolate, Desserts",,500,22.541947399999998,88.35471347839723
New Madras Tiffin,https://www.zomato.com/kolkata/new-madras-tiffin-hatibagan,"South Indian, Street Food, Chinese, Beverages","Hatibagan, Kolkata",Opens at 10am,"138, Bidhan Sarani, Hatibagan, Kolkata",919804000000,1,1,1,1,4,341,4.4,3106,South Indian Delights,"Mysore Dosa, Dhania Dosa, Upma, Kulfi, Dahi Vada, Idli","Comfortable Seating Area, Service Time, South Indian Food, Seating Arrangement, Tasty, Hospitality",400,22.5949572,88.3709282
Land Of Cakes ,https://www.zomato.com/kolkata/land-of-cakes-taltala,Bakery,"Taltala, Kolkata",,"69A, Lenin Sarani, 3rd Floor, Taltala, Kolkata",919074000000,1,0,0,0,-,0,4.4,173,,,"Food Presentation, Worth the Money, Timely Service, Delicious Food, Taste",350,22.474209950000002,88.35512632362978
Bachan's Dhaba,https://www.zomato.com/kolkata/bachans-dhaba-kalighat,"North Indian, Biryani, Chinese, Mughlai, Fast Food, Beverages","Kalighat, Kolkata",Opens at 11am,"T 39A, Rash Behari Avenue, Kalighat, Kolkata",913325000000,1,1,1,0,4.1,2520,4.1,8546,,"Yellow Dal Tadka, Mutton Masala, Chicken Reshmi Masala, Egg Tarka, Roomali Roti, Kulfi","Great Seating Capacity, Very Cheap, Desi Vibes, Vibrant Interiors, Online Delivery, Pocket Friendly",500,22.5153313,88.3477052
Hotel Sathi,https://www.zomato.com/kolkata/hotel-sathi-kalighat,"North Indian, Biryani, Chinese, Rolls, Mughlai","Kalighat, Kolkata",Opens at 11am,"39B, Rash Behari Avenue, Kalighat, Kolkata",913325000000,1,1,1,0,3.8,436,3.7,33200,,"Kashmiri Aloo, Rumali Roti, Mutton Kosha, Rolls, Kebabs","Ample Seating Area, Good Taste, Awesome Food, Reasonable Price, Great Food, Good Food",500,22.5153313,88.3477052
Rang De Basanti Dhaba,https://www.zomato.com/kolkata/rang-de-basanti-dhaba-hazra,"North Indian, Mughlai, Beverages","Hazra, Kolkata",Opens at 12noon,"1, Andul Raj Road, Ward 84, Hazra, Kolkata",916289000000,1,1,0,0,-,0,3.9,1060,,,"Healthy and Delicious, Fresh Food with Good Quality, Spill Proof Packaging, Mouth Watering Food, Affordable Prices, Food",200,22.5227232,88.3499241
New Arsalan Biryani,https://www.zomato.com/kolkata/new-arsalan-biryani-tangra,Biryani,"Tangra, Kolkata",Opens at 11:35am,"72, Christopher Road, Borough- VII, Tangra, Kolkata",919123000000,1,1,1,0,-,0,3.9,256,,,,300,22.5565107,88.3795946
GlacÃ© Patisserie,https://www.zomato.com/kolkata/glacÃ©-patisserie-kasba,"Desserts, Bakery","Kasba, Kolkata",,"1G, 1st Floor, Natore Park, Ward 67, Kasba, Kolkata",919875000000,1,1,1,0,4.1,425,4.1,4316,,"Caramel Pastry, Macaroons, Strawberry Cake, Quiche, Chocolate Truffle, Red Velvet Cake","Everything is Perfect, Pretty Decor, Affordable, Owner, Wonderful Presentation, Spill Proof Packaging",450,22.5044355,88.3721663
Desi Streat,https://www.zomato.com/kolkata/desi-streat-ballygunge,"South Indian, Street Food","Quest Mall, Ballygunge, Kolkata",Opens at 11:30am,"33, Floor 4, Quest Mall, Syed Ali Amir Avenue, Ballygunge, Kolkata",919073000000,1,1,0,1,3.8,146,4.1,1099,,"Mysore Masala Dosa, Raj Kachori, Chaat, Chutneys, Sambhar","Street Food, South Indian Food, Good Place, Good Food, Prices, Service",300,22.539025350000003,88.36570191241475
Hotel Swagath,https://www.zomato.com/kolkata/hotel-swagath-hazra,"South Indian, North Indian, Chinese, Fast Food, Beverages","Hazra, Kolkata",Opens at 7am,"37, Near Ritchie Road Crossing, Hazra, Kolkata",913341000000,1,1,1,1,4,348,4.3,1670,,"Cocktail Vada, Chinese Idli, Sambhar, Chutneys, Thali, Dal","Good Ambience, Preparation, Great Place, Tasty, Good Service, Nice Place",750,22.5227232,88.3499241
Agarwal's Pav Bhaji,https://www.zomato.com/kolkata/agarwals-pav-bhaji-girish-park,"Street Food, Fast Food, Pasta, Sandwich, Beverages","Girish Park, Kolkata",,"180 - B, Mukhtaram Babu Street, Near Ram Mandir, Girish Park, Kolkata",919875000000,1,1,0,1,4,265,4,2877,,,"Street Food, Good Crowd, Low Price, Amazing Food, Quick Service, Best Place",150,22.5871445,88.3629415
Ashrafia Tea,https://www.zomato.com/kolkata/ashrafia-tea-wellesley,"Fast Food, Burger, Sandwich, Tea","Wellesley, Kolkata",Opens at 7am,"45, Royd Street, Near AG School, Wellesley, Kolkata",918584000000,1,1,1,0,3.7,83,4,5395,,,"Best Food under Best Budget, Fresh Food, Good Quality, Price",200,22.5558499,88.3571668
Taj Biryani & Restaurant,https://www.zomato.com/kolkata/taj-biryani-restaurant-taltala,"Biryani, North Indian","Taltala, Kolkata",11:30am â€“ 4am (Today),"114, Lenin Sarani, Moulali Crossing, Near CBSE Office, Taltala, Kolkata",918698000000,1,1,1,0,3.1,53,3.8,4049,,,"Customizable Food, Elaborate Menu, Fresh Food, Good Quality",300,22.474209950000002,88.35512632362978
Classic Fast Food Centre,https://www.zomato.com/kolkata/classic-fast-food-centre-hazra,"Kebab, Biryani","Hazra, Kolkata",Opens at 10:30am,"128, Ward 73, Hazra Road, Hazra, Kolkata",918583000000,1,1,0,0,-,0,4,361,,"Biryani, Mutton, Rice, Chicken",,100,22.5227232,88.3499241
Gopala's,https://www.zomato.com/kolkata/gopalas-hazra,"South Indian, North Indian, Chinese, Fast Food, Beverages","Hazra, Kolkata",Opens at 8am,"8/1A, Opposite Paramount Nursing Home, Hazra, Kolkata",917439000000,1,1,1,1,3.6,17,4.2,466,"No onion, No garlic, Pure Veg.",,"Best in Service, Quality of Food, Excellent Food, Quantity, Price",700,22.5227232,88.3499241
